keyword,cluster,est_volume,intent,cv_distance,difficulty,ai_risk,priority_rank,note,score,uniqueness,new_rank
ベビーシッター 保育士 資格,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,12.18,1.0,138
企業内保育 給料,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,中,25,推定/根拠:『認可より高い場合もある』との記述が複数。実額比較は空白【P2重点:30代・経験5年以上・失敗回避層】,12.18,1.0,139
保育士 から 児童指導員,C9_異業種・保育士以外のキャリア,500,Know,A,Mid,中,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,12.18,1.0,140
保育士 パート 扶養内,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,12.18,1.0,141
保育士 パート 時給 相場,C3_給料・年収・処遇改善,500,Know,A,Mid,中,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占,12.18,1.0,142
保育士 借り上げ社宅 制度,C3_給料・年収・処遇改善,500,Know,A,Mid,中,38,推定/根拠:求人選定の決め手になりCVに近い。自治体別の条件差が大きい【P2重点:30代・経験5年以上・失敗回避層】,12.18,1.0,143
保育士 借り上げ社宅 東京 2026,C7_地域KW,500,Know,A,Mid,中,,推定/根拠:自治体の宿舎借り上げは年度ごとに変動。一次情報整理で勝てる【P2重点:30代・経験5年以上・失敗回避層】,12.18,1.0,144
保育士 家賃補助,C3_給料・年収・処遇改善,500,Know,A,Mid,中,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占,12.18,1.0,145
保育士 宿舎借り上げ支援事業 2026,C3_給料・年収・処遇改善,500,Know,A,Mid,中,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占,12.18,1.0,146
保育士 派遣 時給 相場,C3_給料・年収・処遇改善,500,Know,A,Mid,中,,"推定/根拠:東京都の単発平均時給1,413円等の実データが流通",12.18,1.0,147
保育士 職務経歴書 書き方,C11_採用側・選考突破【中核】,500,Do,B,Mid,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,12.18,2.0,148
保育士 採用 売り手市場 いつまで,C10_市場・制度・データ（権威付け）,50,Know,B,Low,中,,推定/根拠:有効求人倍率3.88倍の意味を採用側から翻訳できる,12.00,1.5,149
にじいろ保育園 評判 保育士,C8_園・法人の評判（要法務確認）,100,Know,A,Mid,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない,11.94,1.0,150
アスク保育園 評判 保育士,C8_園・法人の評判（要法務確認）,100,Know,A,Mid,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない,11.94,1.0,151
チャイルドマインダー 意味ない,C6_資格・キャリアアップ,100,Know,B,Low,低,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要,11.94,1.0,152
ベビーシッター 個人 稼げる,C4_働き方・雇用形態・施設タイプ,100,Know,B,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,11.94,1.0,153
ポピンズ 保育士 評判,C8_園・法人の評判（要法務確認）,100,Know,A,Mid,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない,11.94,1.0,154
保育園 口コミサイト 保育士向け,C8_園・法人の評判（要法務確認）,100,Go,B,Low,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない,11.94,1.0,155
保育士 20代 異業種 転職,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,11.94,1.0,156
保育士 30代 異業種 未経験,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,11.94,1.0,157
保育士 Uターン転職,C7_地域KW,100,Know,B,Low,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,11.94,1.0,158
保育士 から IT 転職,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,11.94,1.0,159
保育士 から webデザイナー,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,11.94,1.0,160
保育士 から 医療事務,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,11.94,1.0,161
保育士 から 営業職,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,11.94,1.0,162
保育士 もう限界,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,11.94,1.0,163
保育士 ハローワーク 転職サイト どっち,C1_転職サイト・エージェント比較,100,Know,B,Low,低,,【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】,11.94,1.0,164
保育士 フリーランス,C4_働き方・雇用形態・施設タイプ,100,Know,B,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,11.94,1.0,165
保育士 主任 パワハラ,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,11.94,1.0,166
保育士 保護者対応 疲れた,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,11.94,1.0,167
保育士 向いてない 辞めたい,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,11.94,1.0,168
保育士 年度途中 辞める 迷惑,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,46,推定/根拠:『園はどう思うか』を園長が answering できる希少KW,11.94,1.0,169
保育士 持ち帰り仕事 多すぎ,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,11.94,1.0,170
保育士 早番 遅番 つらい,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,11.94,1.0,171
保育士 求人 世田谷区,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:市区町村×求人はDBが強いが『区ごとの補助制度・配置事情』記事なら勝機,11.94,1.0,172
保育士 求人 八王子市,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,11.94,1.0,173
保育士 求人 北九州市,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,11.94,1.0,174
保育士 求人 堺市,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,11.94,1.0,175
保育士 求人 大阪 未経験,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,11.94,1.0,176
保育士 求人 岡山,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,11.94,1.0,177
保育士 求人 新潟,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,11.94,1.0,178
保育士 求人 杉並区,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,11.94,1.0,179
保育士 求人 江戸川区,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,11.94,1.0,180
保育士 求人 港区,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,11.94,1.0,181
保育士 求人 熊本,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,11.94,1.0,182
保育士 求人 練馬区,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,11.94,1.0,183
保育士 求人 船橋市,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,11.94,1.0,184
保育士 求人 足立区,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,11.94,1.0,185
保育士 求人アプリ おすすめ,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,11.94,1.0,186
保育士 派遣会社 比較,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,11.94,1.0,187
保育士 職場 いじめ,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,11.94,1.0,188
保育士 資格 一般企業 有利,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,11.94,1.0,189
保育士 転職 リスク,C5_転職ノウハウ（計画・手続き）,100,Know,B,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,11.94,1.0,190
保育士 転職 何月から動く,C5_転職ノウハウ（計画・手続き）,100,Know,B,Low,低,22,推定/根拠:園の採用は秋と年度末に山。決裁者しか書けない時期論【P2重点:30代・経験5年以上・失敗回避層】,11.94,1.0,191
保育士 転職 潰しが効かない,C9_異業種・保育士以外のキャリア,100,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,11.94,1.0,192
保育士 転職サイト 20代,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,11.94,1.0,193
保育士 転職サイト 30代,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,【P2重点:30代・経験5年以上・失敗回避層】,11.94,1.0,194
保育士 転職サイト 40代,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,11.94,1.0,195
保育士 転職サイト パート,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,11.94,1.0,196
保育士 転職サイト 使わない,C1_転職サイト・エージェント比較,100,Know,B,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,11.94,1.0,197
保育士 転職サイト 断り方,C1_転職サイト・エージェント比較,100,Do,B,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,11.94,1.0,198
保育士 転職サイト 未経験,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,11.94,1.0,199
保育士 転職サイト 正社員,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,11.94,1.0,200
保育士 転職サイト 登録だけ,C1_転職サイト・エージェント比較,100,Know,B,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,11.94,1.0,201
保育士 転職サイト 複数登録,C1_転職サイト・エージェント比較,100,Know,B,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,11.94,1.0,202
保育士 転職サイト 電話なし,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:『電話なしで使える』を見出しに持つ比較記事が複数＝実需あり。3語で競合薄め【P2重点:30代・経験5年以上・失敗回避層】,11.94,1.0,203
保育士 転職相談 無料,C1_転職サイト・エージェント比較,100,Buy,A,Mid,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,11.94,1.0,204
保育士 辞めたい 2年目,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,11.94,1.0,205
保育士 辞めたい 3年目,C2_退職・辞めたい・人間関係,100,Know,B,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,11.94,1.0,206
保育士 退職 引き止め 断り方,C2_退職・辞めたい・人間関係,100,Do,B,Low,低,44,推定/根拠:引き止める側の論理を園長が開示できる。競合の書けない角度,11.94,1.0,207
保育補助 無資格 きつい,C4_働き方・雇用形態・施設タイプ,100,Know,B,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,11.94,1.0,208
大手保育園 ランキング 働きやすさ,C8_園・法人の評判（要法務確認）,100,Know,A,Mid,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない,11.94,1.0,209
男性保育士 きつい 現実,C10_市場・制度・データ（権威付け）,100,Know,B,Low,低,,推定/根拠:当事者体験が薄い領域。男性層は競合が少なくCV効率が良い,11.94,1.0,210
男性保育士 結婚 生活できない,C10_市場・制度・データ（権威付け）,100,Know,B,Low,低,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用,11.94,1.0,211
社会福祉法人 保育園 働きやすさ,C8_園・法人の評判（要法務確認）,100,Know,B,Low,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない,11.94,1.0,212
保育士 から コールセンター,C9_異業種・保育士以外のキャリア,50,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,10.40,1.0,213
保育士 から 塾講師,C9_異業種・保育士以外のキャリア,50,Know,B,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,10.40,1.0,214
保育士 スキル 言い換え 職務経歴書,C9_異業種・保育士以外のキャリア,50,Do,B,Low,低,,推定/根拠:保育経験のビジネス語への翻訳。採用側目線の翻訳例が書ける【P2重点:30代・経験5年以上・失敗回避層】,10.40,1.0,215
保育士 引っ越し 転職 同時,C7_地域KW,50,Know,B,Low,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,10.40,1.0,216
保育士 転職 2回目,C5_転職ノウハウ（計画・手続き）,50,Know,B,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,10.40,1.0,217
保育士 転職 口コミ 信用できる,C8_園・法人の評判（要法務確認）,50,Know,B,Low,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない,10.40,1.0,218
保育士 転職サイト 使わないほうがいい,C1_転職サイト・エージェント比較,50,Know,B,Low,低,,【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】,10.40,1.0,219
乳児院 保育士 仕事内容,C4_働き方・雇用形態・施設タイプ,100,Know,B,Low,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,9.19,1.0,220
保育園 辞める 手順,C2_退職・辞めたい・人間関係,100,Do,B,Low,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,9.19,1.0,221
保育士 キャリアパス 例,C6_資格・キャリアアップ,100,Know,B,Low,中,,【P2重点:30代・経験5年以上・失敗回避層】,9.19,1.0,222
保育士 サービス残業 違法,C2_退職・辞めたい・人間関係,100,Know,B,Low,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,9.19,1.0,223
保育士 休憩なし 違法,C2_退職・辞めたい・人間関係,100,Know,B,Low,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,9.19,1.0,224
保育士 即日退職,C2_退職・辞めたい・人間関係,100,Do,B,Low,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,9.19,1.0,225
保育士 派遣 3年ルール,C4_働き方・雇用形態・施設タイプ,100,Know,B,Low,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,9.19,1.0,226
保育士 転職 スケジュール,C5_転職ノウハウ（計画・手続き）,100,Know,B,Low,中,,推定/根拠:ノウハウ系。SERPは専門メディア＋養成校,9.19,1.0,227
保育士 転職 有給消化,C5_転職ノウハウ（計画・手続き）,100,Know,B,Low,中,,推定/根拠:ノウハウ系。SERPは専門メディア＋養成校,9.19,1.0,228
保育士 退職 3月末,C2_退職・辞めたい・人間関係,100,Know,B,Low,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,9.19,1.0,229
保育士 適応障害 退職,C2_退職・辞めたい・人間関係,100,Know,B,Low,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,9.19,1.0,230
保育士 配置基準 きつい,C2_退職・辞めたい・人間関係,100,Know,B,Low,中,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,9.19,1.0,231
認可保育園 認可外 違い 働く側,C4_働き方・雇用形態・施設タイプ,100,Know,B,Low,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,9.19,1.0,232
保育園 園長 なるには,C6_資格・キャリアアップ,500,Know,B,Mid,中,,推定/根拠:園長本人が書ける最大の当事者性KW。指名検索・信頼獲得の柱,9.14,1.5,233
保育士 退職理由 ランキング,C10_市場・制度・データ（権威付け）,500,Know,B,Mid,中,,推定/根拠:人間関係33.5〜38%が1位（各社調査）。悩み層の入口として有効,9.14,1.5,234
保育士 面接 質問,C11_採用側・選考突破【中核】,"1,000",Know,A,High,中,,推定/根拠:大手（人材バンク等）が回答例付きで独占。園長の『実際に何を見ているか』で差別化,9.01,2.0,235
保育士 向いてない,C2_退職・辞めたい・人間関係,"1,000",Know,B,Mid,低,42,推定/根拠:自己否定系は滞在が長くAIに食われにくい。『向いてないのではなく園が合っていない』で受ける,8.79,1.0,236
保育士 転職 タイミング,C5_転職ノウハウ（計画・手続き）,"1,000",Know,B,Mid,低,16,推定/根拠:『何月がベストか』は意思決定型。採用側の採用計画カレンダーで上書きできる【P2重点:30代・経験5年以上・失敗回避層】,8.79,1.0,237
保育園 見学 お礼メール 例文,C11_採用側・選考突破【中核】,100,Do,C,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,8.57,2.0,238
保育士 内定 辞退 メール 例文,C11_採用側・選考突破【中核】,100,Do,C,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,8.57,2.0,239
保育士 応募書類 手書き パソコン どっち,C11_採用側・選考突破【中核】,100,Know,C,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,8.57,2.0,240
保育士 面接 当日 流れ,C11_採用側・選考突破【中核】,100,Know,C,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,8.57,2.0,241
保育士 転職 市場 2026,C10_市場・制度・データ（権威付け）,50,Know,B,Low,中,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用,8.00,1.0,242
保育士 30代 転職,C5_転職ノウハウ（計画・手続き）,500,Know,B,Mid,低,21,【P2重点:30代・経験5年以上・失敗回避層】,7.92,1.0,243
保育士 から 一般企業,C9_異業種・保育士以外のキャリア,500,Know,B,Mid,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,7.92,1.0,244
保育士 から 事務職,C9_異業種・保育士以外のキャリア,500,Know,B,Mid,低,,推定/根拠:最頻出の転職先。未経験事務の現実を具体で書けば勝機,7.92,1.0,245
保育士 パート 志望動機,C4_働き方・雇用形態・施設タイプ,500,Do,B,Mid,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,7.92,1.0,246
保育士 人間関係 悩み,C2_退職・辞めたい・人間関係,500,Know,B,Mid,低,,推定/根拠:離職理由1位（33.5〜38%）。体験談需要が強くAI耐性高,7.92,1.0,247
保育士 仕事 つらい,C2_退職・辞めたい・人間関係,500,Know,B,Mid,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,7.92,1.0,248
保育士 副業 おすすめ,C4_働き方・雇用形態・施設タイプ,500,Know,B,Mid,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,7.92,1.0,249
保育士 転職 働きながら,C5_転職ノウハウ（計画・手続き）,500,Know,B,Mid,低,,【P2重点:30代・経験5年以上・失敗回避層】,7.92,1.0,250
保育士 転職 失敗,C5_転職ノウハウ（計画・手続き）,500,Know,B,Mid,低,14,推定/根拠:失敗回避が最大の検索動機。体験談型でAI耐性高【P2重点:30代・経験5年以上・失敗回避層】,7.92,1.0,251
保育士 転職 後悔,C5_転職ノウハウ（計画・手続き）,500,Know,B,Mid,低,15,【P2重点:30代・経験5年以上・失敗回避層】,7.92,1.0,252
保育士 辞めたい 1年目,C2_退職・辞めたい・人間関係,500,Know,B,Mid,低,40,推定/根拠:年次別派生。新卒離職の検索が春〜夏に集中する季節KW,7.92,1.0,253
保育士 辞めたい 人間関係,C2_退職・辞めたい・人間関係,500,Know,B,Mid,低,41,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,7.92,1.0,254
保育士 辞めたい 新卒,C2_退職・辞めたい・人間関係,500,Know,B,Mid,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,7.92,1.0,255
保育士 辞めた人 その後,C9_異業種・保育士以外のキャリア,500,Know,B,Mid,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,7.92,1.0,256
保育士 辞めた後 何してる,C2_退職・辞めたい・人間関係,500,Know,B,Mid,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,7.92,1.0,257
保育士 辞めて 別の仕事,C9_異業種・保育士以外のキャリア,500,Know,B,Mid,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,7.92,1.0,258
保育士 辞めて良かった,C2_退職・辞めたい・人間関係,500,Know,B,Mid,低,,推定/根拠:体験談型。AI Overviews耐性が最も高い層,7.92,1.0,259
児童養護施設 保育士,C4_働き方・雇用形態・施設タイプ,500,Know,B,Mid,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,7.92,1.0,260
保育士 求人 東京,C7_地域KW,"10,000",Buy,A,High,低,,推定/根拠:Indeed・大手求人DBが上位独占。記事型では上位困難,7.80,1.0,261
保育士 一次面接 二次面接 違い,C11_採用側・選考突破【中核】,50,Know,C,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,7.47,2.0,262
保育士 職務経歴書 いらない,C11_採用側・選考突破【中核】,50,Know,C,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,7.47,2.0,263
保育士 面接 メモ 持ち込み,C11_採用側・選考突破【中核】,50,Know,C,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,7.47,2.0,264
保育士 志望動機 ブランク,C11_採用側・選考突破【中核】,500,Do,B,Mid,高,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,7.31,2.0,265
保育士 志望動機 未経験,C11_採用側・選考突破【中核】,500,Do,B,Mid,高,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,7.31,2.0,266
保育士 面接 自己紹介 例文,C11_採用側・選考突破【中核】,500,Do,B,Mid,高,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,7.31,2.0,267
保育士 求人 大阪,C7_地域KW,"5,000",Buy,A,High,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,7.21,1.0,268
保育士 派遣,C4_働き方・雇用形態・施設タイプ,"5,000",Buy,A,High,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,7.21,1.0,269
保育士 転職サイト,C1_転職サイト・エージェント比較,"5,000",Buy,A,High,低,,推定/根拠:主要アフィリ比較記事が20〜73社比較で量産。新規は6ヶ月では取れない,7.21,1.0,270
保育士 転職サイト おすすめ,C1_転職サイト・エージェント比較,"5,000",Buy,A,High,低,,推定/根拠:SERP1〜10位が全て比較ランキング（マイベスト/転職アンテナ/転職.jp等）,7.21,1.0,271
保育士 履歴書 書き方,C11_採用側・選考突破【中核】,"1,000",Do,C,Mid,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,6.31,2.0,272
キャリアアップ研修 受けないとどうなる,C6_資格・キャリアアップ,500,Know,B,Mid,中,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要,6.09,1.0,273
モンテッソーリ 資格 保育士,C6_資格・キャリアアップ,500,Know,B,Mid,中,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要,6.09,1.0,274
主任保育士 なるには,C6_資格・キャリアアップ,500,Know,B,Mid,中,,【P2重点:30代・経験5年以上・失敗回避層】,6.09,1.0,275
保育士 から 公務員,C9_異業種・保育士以外のキャリア,500,Know,B,Mid,中,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,6.09,1.0,276
保育士 公立 私立 給料 違い,C3_給料・年収・処遇改善,500,Know,B,Mid,中,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占,6.09,1.0,277
保育士 取っておくと良い資格,C6_資格・キャリアアップ,500,Know,B,Mid,中,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要,6.09,1.0,278
保育士 将来性,C10_市場・制度・データ（権威付け）,500,Know,B,Mid,中,,推定/根拠:官公庁データ引用型。CVは遠いが被リンク・E-E-A-T獲得用,6.09,1.0,279
保育士 年度途中 退職,C2_退職・辞めたい・人間関係,500,Know,B,Mid,中,,推定/根拠:民法627条の法的根拠解説が定番。事実部分はAIに食われやすい,6.09,1.0,280
